Time,memory
Fri Apr 16 2021 05:25:00 GMT-0400 (Eastern Daylight Time),0.9798333333333333
Fri Apr 16 2021 05:30:00 GMT-0400 (Eastern Daylight Time),0.9995
Fri Apr 16 2021 05:35:00 GMT-0400 (Eastern Daylight Time),0.9999
Fri Apr 16 2021 05:40:00 GMT-0400 (Eastern Daylight Time),0.9999
Fri Apr 16 2021 05:45:00 GMT-0400 (Eastern Daylight Time),0.9999
Fri Apr 16 2021 05:50:00 GMT-0400 (Eastern Daylight Time),0.9999
Fri Apr 16 2021 06:40:00 GMT-0400 (Eastern Daylight Time),0.9997
Fri Apr 16 2021 06:45:00 GMT-0400 (Eastern Daylight Time),0.5995
Fri Apr 16 2021 06:50:00 GMT-0400 (Eastern Daylight Time),0.7595000000000001
Fri Apr 16 2021 06:55:00 GMT-0400 (Eastern Daylight Time),0.9095000000000001
Fri Apr 16 2021 07:00:00 GMT-0400 (Eastern Daylight Time),0.9499000000000001
Fri Apr 16 2021 07:05:00 GMT-0400 (Eastern Daylight Time),0.95975
Fri Apr 16 2021 07:10:00 GMT-0400 (Eastern Daylight Time),0.9798749999999999
Fri Apr 16 2021 07:15:00 GMT-0400 (Eastern Daylight Time),0.9998333333333334
Fri Apr 16 2021 07:20:00 GMT-0400 (Eastern Daylight Time),0.9999
Fri Apr 16 2021 07:25:00 GMT-0400 (Eastern Daylight Time),0.9999
Fri Apr 16 2021 07:30:00 GMT-0400 (Eastern Daylight Time),0.9998333333333334
Fri Apr 16 2021 07:35:00 GMT-0400 (Eastern Daylight Time),0.6295000000000001
Fri Apr 16 2021 07:40:00 GMT-0400 (Eastern Daylight Time),0.7795000000000001
Fri Apr 16 2021 07:45:00 GMT-0400 (Eastern Daylight Time),0.9495000000000001
Fri Apr 16 2021 07:50:00 GMT-0400 (Eastern Daylight Time),0.9599
Fri Apr 16 2021 07:55:00 GMT-0400 (Eastern Daylight Time),0.9695
Fri Apr 16 2021 08:00:00 GMT-0400 (Eastern Daylight Time),0.9798333333333333
Fri Apr 16 2021 08:05:00 GMT-0400 (Eastern Daylight Time),0.999875
Fri Apr 16 2021 08:10:00 GMT-0400 (Eastern Daylight Time),0.9998666666666667
Fri Apr 16 2021 08:15:00 GMT-0400 (Eastern Daylight Time),0.6095
Fri Apr 16 2021 08:20:00 GMT-0400 (Eastern Daylight Time),0.7695000000000001
Fri Apr 16 2021 08:25:00 GMT-0400 (Eastern Daylight Time),0.9095000000000001
Fri Apr 16 2021 08:30:00 GMT-0400 (Eastern Daylight Time),0.95975
Fri Apr 16 2021 08:35:00 GMT-0400 (Eastern Daylight Time),0.9599
Fri Apr 16 2021 08:40:00 GMT-0400 (Eastern Daylight Time),0.9798333333333333
Fri Apr 16 2021 08:45:00 GMT-0400 (Eastern Daylight Time),0.9998333333333334
Fri Apr 16 2021 08:50:00 GMT-0400 (Eastern Daylight Time),0.9999
Fri Apr 16 2021 08:55:00 GMT-0400 (Eastern Daylight Time),0.999875
Fri Apr 16 2021 09:00:00 GMT-0400 (Eastern Daylight Time),0.5595000000000001
Fri Apr 16 2021 09:05:00 GMT-0400 (Eastern Daylight Time),0.6995000000000001
Fri Apr 16 2021 09:10:00 GMT-0400 (Eastern Daylight Time),0.8395
Fri Apr 16 2021 09:15:00 GMT-0400 (Eastern Daylight Time),0.9498333333333334
Fri Apr 16 2021 09:20:00 GMT-0400 (Eastern Daylight Time),0.9499000000000001
Fri Apr 16 2021 09:25:00 GMT-0400 (Eastern Daylight Time),0.9698333333333333
Fri Apr 16 2021 09:30:00 GMT-0400 (Eastern Daylight Time),0.96975
Fri Apr 16 2021 09:35:00 GMT-0400 (Eastern Daylight Time),0.6195
Fri Apr 16 2021 09:40:00 GMT-0400 (Eastern Daylight Time),0.7595000000000001
Fri Apr 16 2021 09:45:00 GMT-0400 (Eastern Daylight Time),0.9095000000000001
Fri Apr 16 2021 09:50:00 GMT-0400 (Eastern Daylight Time),0.9498333333333334
Fri Apr 16 2021 09:55:00 GMT-0400 (Eastern Daylight Time),0.9598333333333333
Fri Apr 16 2021 10:00:00 GMT-0400 (Eastern Daylight Time),0.9596
Fri Apr 16 2021 10:05:00 GMT-0400 (Eastern Daylight Time),0.6695000000000001
Fri Apr 16 2021 10:10:00 GMT-0400 (Eastern Daylight Time),0.6899000000000001
